Informe de términos de búsqueda
12 de junio de 2026 - 6 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Añadido/excluido,Grupo de anuncios,Palabra clave,Clics,Impr.,Conversiones,Código de moneda,Coste/conv.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.)
alquiler de carros bogota baratos,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquiler vehiculos bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,30,127,"1,00",COP,"23749,58","23,62%","791,65","23749,58","21,01%","69,75%"
rental cars bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
arriendo de vehiculos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquiler de carro en santa marta colombia,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,7,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","66,67%"
renta de carros,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,21,122,"1,00",COP,"15396,91","17,21%","733,19","15396,91","10,91%","79,09%"
alquiler carro bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,10,"0,00",COP,"0,00","20,00%","1021,78","2043,56","10,00%","70,00%"
go rent a car medellin,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","50,00%"
renta de autos barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,5,12,"0,00",COP,"0,00","41,67%","849,40","4247,00","16,67%","91,67%"
carros rentados,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
cuanto rentan un carro por dia,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
carros alquiler neiva,Concordancia exacta (ligera variación),Ninguno,Neiva unica Airport,alquiler de carros en neiva,1,1,"0,00",COP,"0,00","100,00%","639,00","639,00","0,00%","100,00%"
rentar un carro en colombia,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentar un carro en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,1,1,"0,00",COP,"0,00","100,00%","1671,00","1671,00","100,00%","100,00%"
como alquilar un carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","443,00","443,00","100,00%","100,00%"
renta de carros en bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,5,"0,00",COP,"0,00","40,00%","773,50","1547,00","20,00%","100,00%"
renta carros en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,2,8,"1,00",COP,"3842,00","25,00%","1921,00","3842,00","0,00%","62,50%"
alquiler carros,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,2,10,"0,00",COP,"0,00","20,00%","994,00","1988,00","0,00%","90,00%"
alkilautos,Concordancia amplia,Excluido,Bogota,renta de carros bogota,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","66,67%"
renta de autos ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,1,4,"0,00",COP,"0,00","25,00%","196,00","196,00","66,67%","100,00%"
american rental car,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
cuánto vale el alquiler de un carro en colombia,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentacar santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,9,42,"0,00",COP,"0,00","21,43%","1088,03","9792,25","32,35%","70,59%"
alquilautos co,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentacar medellín,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,8,"0,00",COP,"0,00","0,00%",0,"0,00","12,50%","62,50%"
renta de autos,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,1,1,"0,00",COP,"0,00","100,00%","363,96","363,96","0,00%","100,00%"
alquiler de carro,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","66,67%"
alquiler de carros baratos en santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquiler de autos,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,3,11,"0,00",COP,"0,00","27,27%","377,22","1131,67","30,00%","100,00%"
renta de camionetas medellin,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler autos ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,3,8,"0,00",COP,"0,00","37,50%","902,00","2706,00","50,00%","83,33%"
renta a car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rents cars,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta un carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","659,00","659,00","0,00%","100,00%"
alquiler auto medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,1,5,"0,00",COP,"0,00","20,00%","1972,00","1972,00","0,00%","20,00%"
alquilame,Concordancia amplia,Excluido,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
ejecar rental,Concordancia amplia,Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta tu carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta car,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,1,2,"0,00",COP,"0,00","50,00%","717,00","717,00","50,00%","100,00%"
alquiler de carros en villavicencio precio,Concordancia exacta (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,2,9,"0,00",COP,"0,00","22,22%","358,49","716,98","44,44%","88,89%"
rent car aeropuerto,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta car precios,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","177,00","177,00","0,00%","100,00%"
alquiler de carros,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,3,15,"0,00",COP,"0,00","20,00%","829,00","2487,00","42,86%","92,86%"
alquiler carros en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,2,15,"3,17",COP,"495,63","13,33%","784,75","1569,51","0,00%","50,00%"
alquiler de carros por dias en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,4,15,"0,00",COP,"0,00","26,67%","859,58","3438,31","23,08%","92,31%"
rentacar ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,4,11,"0,00",COP,"0,00","36,36%","474,00","1896,00","36,36%","100,00%"
alquilo carro,Concordancia amplia,Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquilar un carro por un dia,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent a car cerca de mi,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de auto bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,5,"0,00",COP,"0,00","40,00%","369,50","739,00","0,00%","80,00%"
alquiler de vehiculos en cucuta colombia,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,2,3,"0,00",COP,"0,00","66,67%","574,50","1149,00","33,33%","100,00%"
vaya rental car,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","780,00","780,00","100,00%","100,00%"
alkilautos monteria,Concordancia amplia,Ninguno,Monteria,alquiler de carros en monteria,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro,Concordancia amplia,Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
car rental cúcuta,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,1,1,"0,00",COP,"0,00","100,00%","595,00","595,00","100,00%","100,00%"
carsfort,Concordancia amplia,Excluido,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","50,00%"
alquiler de carros en santa marta,Concordancia de frase,Ninguno,Santa marta,alquiler de carros santa marta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehículos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,10,"0,00",COP,"0,00","20,00%","744,00","1488,00","0,00%","70,00%"
rentar carro,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,2,8,"0,00",COP,"0,00","25,00%","1947,82","3895,64","50,00%","87,50%"
alquiler de carro bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,14,96,"0,00",COP,"0,00","14,58%","584,07","8177,04","8,79%","74,73%"
master rent,Concordancia amplia,Excluido,Medellin,alquiler carros medellin,1,1,"0,00",COP,"0,00","100,00%","740,69","740,69","100,00%","100,00%"
carro para alquilar,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
go rent santa marta,Concordancia de frase (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,6,"0,00",COP,"0,00","0,00%",0,"0,00","33,33%","66,67%"
rental car near me,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquilar coche,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentar carro en bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de camionetas 4x4,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","33,33%","33,33%"
carros alquiler bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,3,5,"0,00",COP,"0,00","60,00%","271,67","815,00","25,00%","100,00%"
alquiler vehículos manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de vehiculos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,3,12,"0,00",COP,"0,00","25,00%","571,98","1715,94","0,00%","90,91%"
rentar carro en bucaramanga colombia,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,1,5,"0,00",COP,"0,00","20,00%","1641,00","1641,00","25,00%","100,00%"
alquilar un carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,15,"0,00",COP,"0,00","6,67%","669,00","669,00","0,00%","60,00%"
lokaliza,Concordancia amplia,Excluido,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentas de carros,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
jet rent a car medellin,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
alquiler carros economicos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","297,00","297,00","0,00%","100,00%"
rentar carro por un dia,Concordancia amplia,Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta carro monteria,Concordancia exacta (ligera variación),Ninguno,Monteria,alquiler de carros en monteria,1,10,"0,00",COP,"0,00","10,00%","855,00","855,00","22,22%","77,78%"
universal rent a car cartagena,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
rent car barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,24,67,"3,67",COP,"4412,32","35,82%","674,21","16181,00","28,57%","85,71%"
rentas de autos,Concordancia amplia,Ninguno,Monteria,alquiler de carros en monteria,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
autorents,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta car,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,1,10,"0,00",COP,"0,00","10,00%","469,00","469,00","37,50%","100,00%"
alquilar carro,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,2,2,"0,00",COP,"0,00","100,00%","938,00","1876,00","0,00%","50,00%"
alquiler de vehiculos en barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,1,9,"0,00",COP,"0,00","11,11%","573,00","573,00","22,22%","88,89%"
como se alquila un carro,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
moviliza rent a car,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
carro alquiler bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,3,11,"0,00",COP,"0,00","27,27%","593,85","1781,55","0,00%","81,82%"
alquilar carros,Concordancia amplia,Ninguno,Valledupar unica Airport,alquiler de carros valledupar,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
ibague car rental,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
carros bogota,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
autorent,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehiculos en bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,5,7,"0,00",COP,"0,00","71,43%","534,00","2670,00","33,33%","100,00%"
carros en arriendo,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,3,"0,00",COP,"0,00","33,33%","634,00","634,00","0,00%","100,00%"
go renta car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,2,2,"0,00",COP,"0,00","100,00%","515,00","1030,00","0,00%","50,00%"
rent a car manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,13,53,"0,00",COP,"0,00","24,53%","700,62","9108,00","34,88%","93,02%"
carros alquiler cali,Concordancia exacta (ligera variación),Ninguno,Cali,alquiler de carros en cali,1,1,"0,00",COP,"0,00","100,00%","1584,00","1584,00","0,00%","100,00%"
rent a car ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,6,12,"0,00",COP,"0,00","50,00%","476,67","2860,00","50,00%","100,00%"
alquiler camioneta 7 puestos santa marta,Concordancia de frase (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,1,6,"0,00",COP,"0,00","16,67%","117,00","117,00","0,00%","75,00%"
renta carros,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquila carro,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de vehiculos,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,3,"0,00",COP,"0,00","33,33%","1487,00","1487,00","50,00%","100,00%"
alquiler de carros bogotá precios,Concordancia exacta (ligera variación),Añadido,Bogota,alquiler de carros bogota,36,133,"1,00",COP,"20634,96","27,07%","573,19","20634,96","17,80%","82,20%"
medellin alquiler de carros,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de vehiculos cerca de mi,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
drivers rental car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler camionetas,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,4,"0,00",COP,"0,00","25,00%","358,26","358,26","0,00%","50,00%"
alquiler carros en cucuta,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
auto rent,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
precio alquiler carro bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","196,00","196,00","0,00%","100,00%"
alquileres de autos,Concordancia amplia,Ninguno,Neiva unica Airport,alquiler de carros en neiva,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de coche en pereira colombia,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
cuanto cuesta el alquiler de una camioneta por dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros exito 134,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,3,"0,00",COP,"0,00","66,67%","1088,00","2176,00","66,67%","100,00%"
turismocity alquiler de autos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
carros en barranquilla,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,1,1,"0,00",COP,"0,00","100,00%","2178,00","2178,00","0,00%","100,00%"
alquiler camioneta,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","50,00%"
alquilauto,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
liberty car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
carro alquiler,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,4,"0,00",COP,"0,00","50,00%","1132,00","2264,00","0,00%","75,00%"
alquiler de carros en cartagena,Concordancia exacta,Añadido,Cartagena unica Airport,alquiler de carros en cartagena,189,478,"11,16",COP,"9925,73","39,54%","586,28","110806,47","31,63%","90,27%"
alquiler de carro por mes,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent a car santa marta telefono,Concordancia de frase (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentas de carro,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alkilautos,Concordancia amplia,Excluido,Medellin,alquiler de carros medellin,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","33,33%"
rent a car bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,3,"0,00",COP,"0,00","33,33%","3140,00","3140,00","0,00%","50,00%"
alquiler carro 7 puestos bogota,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","80,00%"
alquiler de autos por dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
valor alquiler de carros bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentar carro medellin colombia,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler duster 4x4,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,3,"0,00",COP,"0,00","66,67%","520,00","1040,00","0,00%","66,67%"
alquiler de camionetas bogotá precios,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,6,"0,00",COP,"0,00","16,67%","349,00","349,00","0,00%","50,00%"
alquiler de vehiculos en barranquilla precios,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,1,2,"0,00",COP,"0,00","50,00%","358,00","358,00","0,00%","100,00%"
alquiler carro,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquiler de coches cartagena colombia,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
rentar carro,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros villavicencio llanocentro,Concordancia de frase (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","75,00%"
renta autos pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,1,2,"0,00",COP,"0,00","50,00%","2625,00","2625,00","50,00%","100,00%"
alquiler de carro en cali económico,Concordancia de frase,Ninguno,Cali,alquiler de carros en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentar carros santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,2,8,"0,00",COP,"0,00","25,00%","370,50","741,00","0,00%","100,00%"
rento mi carro,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
cuanto vale rentar un carro en colombia,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de autos en cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,7,24,"1,00",COP,"3898,25","29,17%","556,89","3898,25","14,29%","80,95%"
renta car baratos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
medellin rent a car,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,1,1,"0,00",COP,"0,00","100,00%","1710,00","1710,00","100,00%","100,00%"
renta vehiculos bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,3,18,"0,00",COP,"0,00","16,67%","407,67","1223,00","5,88%","70,59%"
renta car cerca de mi,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,4,"0,00",COP,"0,00","25,00%","1473,00","1473,00","50,00%","75,00%"
rent a car aeropuerto,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
vehiculos para rentar,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de vehiculo,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","66,67%"
alquiler de carros villavicencio,Concordancia exacta,Añadido,Villavicencio,alquiler de carros villavicencio,69,151,"1,33",COP,"20818,61","45,70%","402,29","27758,16","53,91%","96,88%"
evolution rent a car medellin,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehiculos,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,2,3,"0,00",COP,"0,00","66,67%","541,50","1083,00","66,67%","100,00%"
rentar carro ibague,Concordancia exacta (ligera variación),Añadido,Ibague,alquiler de carros ibague,15,32,"0,66",COP,"16716,76","46,88%","735,05","11025,73","73,08%","100,00%"
alquiler de carros en cartagena de indias,Concordancia de frase,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de autos bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,6,19,"1,71",COP,"3553,53","31,58%","1011,66","6069,99","40,00%","80,00%"
alquiler auto,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,8,"0,00",COP,"0,00","12,50%","1231,19","1231,19","0,00%","100,00%"
rental,Concordancia amplia,Ninguno,Bogota,renta de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rental car bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,3,18,"0,00",COP,"0,00","16,67%","1296,67","3890,00","12,50%","56,25%"
